order_id,user_id,amount,quantity,created_at,status
A0001,0001,12.50,1,2025-12-01T10:05:00Z,Paid
A0002,0002,8.00,2,2025-12-01T11:10:00Z,paid
A0003,0003,not_a_number,1,2025-12-02T09:00:00Z,Refund
A0004,0001,25.00,,2025-12-03T14:30:00Z,PAID
A0005,0004,100.00,1,not_a_date,paid
A0006,0002,15.75,1,2025-12-04T09:10:00Z,Paid
A0007,0003,200.00,2,2025-12-04T12:45:00Z,PAID
A0008,0005,5.00,1,2025-12-05T08:00:00Z,paid
A0009,0006,,3,2025-12-05T10:20:00Z,Paid
A0010,0001,7.25,1,2025-12-05T16:40:00Z,refund
A0011,0004,60.00,1,2025-12-06T11:15:00Z,Paid
A0012,0002,not_available,2,2025-12-06T13:50:00Z,PAID
A0013,0003,9.99,1,2025-12-07T09:30:00Z,paid
A0014,0001,30.00,2,2025-12-07T18:10:00Z,Paid
A0015,0005,12.00,,2025-12-08T07:45:00Z,PAID
A0016,0006,80.00,1,invalid_date,Paid
A0017,0002,22.50,3,2025-12-08T15:20:00Z,paid
A0018,0003,0,1,2025-12-09T10:00:00Z,Refund
A0019,0004,45.00,1,2025-12-09T14:00:00Z,PAID
A0020,0001,18.00,2,2025-12-09T19:30:00Z,paid
A0021,0007,10.00,1,2025-12-10T08:25:00Z,Paid
A0022,0008,55.50,1,2025-12-10T11:10:00Z,PAID
A0023,0009,,2,2025-12-10T16:40:00Z,paid
A0024,0010,75.00,1,2025-12-11T09:00:00Z,Paid
A0025,0007,33.33,3,2025-12-11T13:55:00Z,refund
A0026,0008,20.00,1,2025-12-12T10:10:00Z,PAID
A0027,0009,15.00,2,2025-12-12T14:45:00Z,paid
A0028,0010,not_a_number,1,2025-12-12T18:30:00Z,Paid
A0029,0007,90.00,1,2025-12-13T09:20:00Z,PAID
A0030,0008,12.75,1,2025-12-13T12:00:00Z,paid
A0031,0009,25.00,2,2025-12-13T17:40:00Z,Paid
A0032,0010,14.00,,2025-12-14T08:10:00Z,paid
A0033,0007,65.00,1,2025-12-14T11:50:00Z,PAID
A0034,0008,19.99,1,2025-12-14T16:30:00Z,Paid
A0035,0009,100.00,1,not_a_date,PAID
A0036,0010,40.00,2,2025-12-15T09:00:00Z,paid
A0037,0007,,1,2025-12-15T12:15:00Z,Paid
A0038,0008,28.00,2,2025-12-15T18:45:00Z,refund
A0039,0009,11.50,1,2025-12-16T10:30:00Z,PAID
A0040,0010,70.00,1,2025-12-16T14:10:00Z,paid
A0041,0007,22.00,1,2025-12-17T09:40:00Z,Paid
A0042,0008,9.00,1,2025-12-17T13:20:00Z,PAID
A0043,0009,55.00,2,2025-12-17T17:55:00Z,paid
A0044,0010,not_a_number,1,2025-12-18T08:00:00Z,Paid
A0045,0007,48.00,,2025-12-18T12:30:00Z,PAID
A0046,0008,60.00,1,2025-12-18T16:45:00Z,paid
A0047,0009,18.50,2,2025-12-19T10:10:00Z,Paid
A0048,0010,35.00,1,invalid_date,PAID
A0049,0007,27.75,3,2025-12-19T15:35:00Z,paid
A0050,0008,85.00,1,2025-12-20T09:00:00Z,Paid
